sequenceID	source.name	species	serotype	coverage_category	length
JA232237	ncbi-nuccore-aav	Primate1	-	full_genome	3157
JA232238	ncbi-nuccore-aav	Primate1	-	full_genome	3163
JA232239	ncbi-nuccore-aav	-	-	full_genome	3161
JA232240	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
JA232242	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
JA400275	ncbi-nuccore-aav	Primate1	-	full_genome	3161
JA400276	ncbi-nuccore-aav	-	-	full_genome	3162
JA400277	ncbi-nuccore-aav	-	-	full_genome	3164
JA400278	ncbi-nuccore-aav	Primate1	-	full_genome	3159
JA400279	ncbi-nuccore-aav	Primate1	-	full_genome	3156
JA400280	ncbi-nuccore-aav	Primate1	-	full_genome	3158
JA400281	ncbi-nuccore-aav	-	-	full_genome	3167
JA400282	ncbi-nuccore-aav	-	-	full_genome	3161
JA400283	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
JA400284	ncbi-nuccore-aav	Primate1	-	full_genome	3159
JA400285	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
JA400286	ncbi-nuccore-aav	Primate1	-	full_genome	3160
JA400287	ncbi-nuccore-aav	Primate1	-	full_genome	3157
JA400288	ncbi-nuccore-aav	Primate1	-	full_genome	3163
JA400289	ncbi-nuccore-aav	-	-	full_genome	3161
JA400290	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
JA400292	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
JA431384	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
JA793972	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
JB292180	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
JB292181	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
JB292182	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
JB292183	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
JB292184	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4767
JB292185	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4642
JB292186	ncbi-nuccore-aav	Primate1	-	full_genome	4683
JB292187	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
JB292188	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
JB292189	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
JB292190	ncbi-nuccore-aav	Primate1	AAV11	full_genome	4087
JB292191	ncbi-nuccore-aav	Primate1	-	full_genome	4180
JC278188	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
JC278189	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
JC278190	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4767
JC278191	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4642
JC285043	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
JC285044	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
JC285045	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4767
JC285046	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4642
JD011822	ncbi-nuccore-aav	Primate1	-	full_genome	4472
KP264981	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4410
KY271943	ncbi-nuccore-aav	Primate1	-	full_genome	4429
LF643462	ncbi-nuccore-aav	Primate1	-	full_genome	4472
LG168865	ncbi-nuccore-aav	Primate1	-	full_genome	4472
LG249844	ncbi-nuccore-aav	-	-	full_genome	4970
LG249845	ncbi-nuccore-aav	-	-	full_genome	4950
LG249846	ncbi-nuccore-aav	-	-	full_genome	4983
LG249847	ncbi-nuccore-aav	-	-	full_genome	4984
LG249848	ncbi-nuccore-aav	-	-	full_genome	4805
LG249849	ncbi-nuccore-aav	-	-	full_genome	4934
LG249850	ncbi-nuccore-aav	-	-	full_genome	4934
LG249851	ncbi-nuccore-aav	-	-	full_genome	4934
LG249852	ncbi-nuccore-aav	-	-	full_genome	5511
LG249853	ncbi-nuccore-aav	-	-	full_genome	5688
LG249854	ncbi-nuccore-aav	-	-	full_genome	5613
LG249855	ncbi-nuccore-aav	-	-	full_genome	5362
LG249856	ncbi-nuccore-aav	-	-	full_genome	5464
LG249862	ncbi-nuccore-aav	-	-	full_genome	5430
LG249863	ncbi-nuccore-aav	-	-	full_genome	5779
LG249864	ncbi-nuccore-aav	-	-	full_genome	5962
LG249865	ncbi-nuccore-aav	-	-	full_genome	5919
LG249866	ncbi-nuccore-aav	-	-	full_genome	5306
LG249867	ncbi-nuccore-aav	-	-	full_genome	5461
LG249868	ncbi-nuccore-aav	-	-	full_genome	5327
LG249869	ncbi-nuccore-aav	-	-	full_genome	5309
LG249870	ncbi-nuccore-aav	-	-	full_genome	5532
LG249871	ncbi-nuccore-aav	-	-	full_genome	5877
LG249874	ncbi-nuccore-aav	-	-	full_genome	5504
LG249875	ncbi-nuccore-aav	-	-	full_genome	5507
LG249876	ncbi-nuccore-aav	-	-	full_genome	5311
LG249877	ncbi-nuccore-aav	-	-	full_genome	5156
LG249878	ncbi-nuccore-aav	-	-	full_genome	5178
LG249879	ncbi-nuccore-aav	-	-	full_genome	5160
LG249880	ncbi-nuccore-aav	-	-	full_genome	5383
LG249881	ncbi-nuccore-aav	-	-	full_genome	5728
LG249882	ncbi-nuccore-aav	-	-	full_genome	5905
LG249883	ncbi-nuccore-aav	-	-	full_genome	5355
LG249884	ncbi-nuccore-aav	-	-	full_genome	5618
LG249885	ncbi-nuccore-aav	-	-	full_genome	5993
LG249886	ncbi-nuccore-aav	-	-	full_genome	5337
LG249887	ncbi-nuccore-aav	-	-	full_genome	5542
LG249888	ncbi-nuccore-aav	-	-	full_genome	5126
LP633630	ncbi-nuccore-aav	-	-	full_genome	4970
LP633631	ncbi-nuccore-aav	-	-	full_genome	4950
LP633632	ncbi-nuccore-aav	-	-	full_genome	4983
LP633633	ncbi-nuccore-aav	-	-	full_genome	4984
LP633634	ncbi-nuccore-aav	-	-	full_genome	4805
LP633635	ncbi-nuccore-aav	-	-	full_genome	4934
LP633636	ncbi-nuccore-aav	-	-	full_genome	4934
LP633637	ncbi-nuccore-aav	-	-	full_genome	4934
LP633638	ncbi-nuccore-aav	-	-	full_genome	5511
LP633639	ncbi-nuccore-aav	-	-	full_genome	5688
LP633640	ncbi-nuccore-aav	-	-	full_genome	5613
LP633641	ncbi-nuccore-aav	-	-	full_genome	5362
LP633642	ncbi-nuccore-aav	-	-	full_genome	5464
LP633645	ncbi-nuccore-aav	-	-	full_genome	5635
LP633648	ncbi-nuccore-aav	-	-	full_genome	5430
LP633649	ncbi-nuccore-aav	-	-	full_genome	5779
LP633650	ncbi-nuccore-aav	-	-	full_genome	5962
LP633651	ncbi-nuccore-aav	-	-	full_genome	5919
LP633652	ncbi-nuccore-aav	-	-	full_genome	5306
LP633653	ncbi-nuccore-aav	-	-	full_genome	5461
LP633654	ncbi-nuccore-aav	-	-	full_genome	5327
LP633655	ncbi-nuccore-aav	-	-	full_genome	5309
LP633656	ncbi-nuccore-aav	-	-	full_genome	5532
LP633657	ncbi-nuccore-aav	-	-	full_genome	5877
LP633660	ncbi-nuccore-aav	-	-	full_genome	5504
LP633661	ncbi-nuccore-aav	-	-	full_genome	5507
LP633662	ncbi-nuccore-aav	-	-	full_genome	5311
LP633663	ncbi-nuccore-aav	-	-	full_genome	5156
LP633664	ncbi-nuccore-aav	-	-	full_genome	5178
LP633665	ncbi-nuccore-aav	-	-	full_genome	5160
LP633666	ncbi-nuccore-aav	-	-	full_genome	5383
LP633667	ncbi-nuccore-aav	-	-	full_genome	5728
LP633668	ncbi-nuccore-aav	-	-	full_genome	5905
LP633669	ncbi-nuccore-aav	-	-	full_genome	5355
LP633670	ncbi-nuccore-aav	-	-	full_genome	5618
LP633671	ncbi-nuccore-aav	-	-	full_genome	5993
LP633672	ncbi-nuccore-aav	-	-	full_genome	5337
LP633673	ncbi-nuccore-aav	-	-	full_genome	5542
LP633674	ncbi-nuccore-aav	-	-	full_genome	5126
LP899424	ncbi-nuccore-aav	Primate1	-	full_genome	4472
LP901957	ncbi-nuccore-aav	-	-	full_genome	4374
LP901958	ncbi-nuccore-aav	-	-	full_genome	4374
LP901959	ncbi-nuccore-aav	-	-	full_genome	4362
LP901960	ncbi-nuccore-aav	-	-	full_genome	4371
LP901961	ncbi-nuccore-aav	-	-	full_genome	4368
LP901962	ncbi-nuccore-aav	-	-	full_genome	4365
LP901963	ncbi-nuccore-aav	-	-	full_genome	4371
LP901965	ncbi-nuccore-aav	-	-	full_genome	4778
LP901966	ncbi-nuccore-aav	-	-	full_genome	4374
LP901967	ncbi-nuccore-aav	-	-	full_genome	4374
LQ220010	ncbi-nuccore-aav	Primate1	-	full_genome	4472
LQ396099	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
LQ396105	ncbi-nuccore-aav	Primate1	-	full_genome	4683
LQ864733	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
LQ870089	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
LQ870090	ncbi-nuccore-aav	Primate1	AAV8	full_genome	3131
LQ870099	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
LQ870100	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
LQ870114	ncbi-nuccore-aav	Primate1	-	full_genome	3121
LQ870116	ncbi-nuccore-aav	-	-	full_genome	3121
LQ870119	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
LQ870127	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
LQ870147	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
LQ870148	ncbi-nuccore-aav	Primate1	-	full_genome	3098
LQ870154	ncbi-nuccore-aav	Primate1	-	full_genome	3128
LQ870156	ncbi-nuccore-aav	Primate1	-	full_genome	3084
LQ870158	ncbi-nuccore-aav	Primate1	-	full_genome	3123
LQ870160	ncbi-nuccore-aav	Primate1	-	full_genome	3122
LQ870162	ncbi-nuccore-aav	Primate1	-	full_genome	3117
LQ870164	ncbi-nuccore-aav	Primate1	-	full_genome	3121
LQ870166	ncbi-nuccore-aav	Primate1	-	full_genome	3122
LQ870172	ncbi-nuccore-aav	Primate1	-	full_genome	3128
LQ870174	ncbi-nuccore-aav	Primate1	-	full_genome	3128
LQ870184	ncbi-nuccore-aav	Primate1	-	full_genome	4683
LQ870194	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
LQ870199	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
LQ870207	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
LQ870208	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
LQ870215	ncbi-nuccore-aav	Primate1	-	full_genome	3123
LQ870217	ncbi-nuccore-aav	Primate1	-	full_genome	3123
LQ870219	ncbi-nuccore-aav	Primate1	-	full_genome	3113
LQ870221	ncbi-nuccore-aav	Primate1	-	full_genome	3122
LQ870223	ncbi-nuccore-aav	-	-	full_genome	3121
LQ870226	ncbi-nuccore-aav	-	-	full_genome	3127
LQ870228	ncbi-nuccore-aav	-	-	full_genome	3106
LQ870230	ncbi-nuccore-aav	-	-	full_genome	3102
LQ870233	ncbi-nuccore-aav	-	-	full_genome	3106
LQ870235	ncbi-nuccore-aav	-	-	full_genome	3098
LQ870247	ncbi-nuccore-aav	Primate1	-	full_genome	3075
LQ870248	ncbi-nuccore-aav	-	-	full_genome	3142
LQ870275	ncbi-nuccore-aav	Primate1	-	full_genome	3161
LQ870276	ncbi-nuccore-aav	-	-	full_genome	3162
LQ870277	ncbi-nuccore-aav	-	-	full_genome	3164
LQ870278	ncbi-nuccore-aav	Primate1	-	full_genome	3163
LQ870281	ncbi-nuccore-aav	-	-	full_genome	3161
LQ870286	ncbi-nuccore-aav	-	-	full_genome	3167
LQ870287	ncbi-nuccore-aav	-	-	full_genome	3161
LQ870288	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
LQ870289	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
LQ870378	ncbi-nuccore-aav	Primate1	-	full_genome	3160
LQ870380	ncbi-nuccore-aav	Primate1	-	full_genome	3157
LQ870383	ncbi-nuccore-aav	Primate1	-	full_genome	3159
LQ870386	ncbi-nuccore-aav	Primate1	-	full_genome	3156
LQ870393	ncbi-nuccore-aav	Primate1	-	full_genome	3158
LQ870395	ncbi-nuccore-aav	Primate1	-	full_genome	3159
LQ870474	ncbi-nuccore-aav	-	-	full_genome	4404
LQ870476	ncbi-nuccore-aav	Primate1	-	full_genome	3129
LQ870485	ncbi-nuccore-aav	Primate1	-	full_genome	3113
LQ870487	ncbi-nuccore-aav	Primate1	-	full_genome	3106
LQ870489	ncbi-nuccore-aav	Primate1	-	full_genome	3197
LQ870491	ncbi-nuccore-aav	-	-	full_genome	3276
LQ870498	ncbi-nuccore-aav	Primate1	-	full_genome	3098
LQ870502	ncbi-nuccore-aav	Primate1	-	full_genome	3113
LQ870504	ncbi-nuccore-aav	Primate1	-	full_genome	3128
LQ870508	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
LQ870510	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
LQ870512	ncbi-nuccore-aav	-	-	full_genome	3105
LQ870514	ncbi-nuccore-aav	Primate1	-	full_genome	3094
LQ870516	ncbi-nuccore-aav	-	-	full_genome	3095
LQ870517	ncbi-nuccore-aav	-	-	full_genome	3095
LQ870602	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
LQ999771	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
LV481285	ncbi-nuccore-aav	-	-	full_genome	4970
LV481286	ncbi-nuccore-aav	-	-	full_genome	4950
LV481287	ncbi-nuccore-aav	-	-	full_genome	4983
LV481288	ncbi-nuccore-aav	-	-	full_genome	4984
LV481289	ncbi-nuccore-aav	-	-	full_genome	4805
LV481290	ncbi-nuccore-aav	-	-	full_genome	4934
LV481291	ncbi-nuccore-aav	-	-	full_genome	4934
LV481292	ncbi-nuccore-aav	-	-	full_genome	4934
LV481293	ncbi-nuccore-aav	-	-	full_genome	5511
LV481294	ncbi-nuccore-aav	-	-	full_genome	5688
LV481295	ncbi-nuccore-aav	-	-	full_genome	5613
LV481296	ncbi-nuccore-aav	-	-	full_genome	5362
LV481297	ncbi-nuccore-aav	-	-	full_genome	5464
LV481300	ncbi-nuccore-aav	-	-	full_genome	5635
LV481303	ncbi-nuccore-aav	-	-	full_genome	5430
LV481304	ncbi-nuccore-aav	-	-	full_genome	5779
LV481305	ncbi-nuccore-aav	-	-	full_genome	5962
LV481306	ncbi-nuccore-aav	-	-	full_genome	5919
LV481307	ncbi-nuccore-aav	-	-	full_genome	5306
LV481308	ncbi-nuccore-aav	-	-	full_genome	5461
LV481309	ncbi-nuccore-aav	-	-	full_genome	5327
LV481310	ncbi-nuccore-aav	-	-	full_genome	5309
LV481311	ncbi-nuccore-aav	-	-	full_genome	5532
LV481312	ncbi-nuccore-aav	-	-	full_genome	5877
LV481315	ncbi-nuccore-aav	-	-	full_genome	5504
LV481316	ncbi-nuccore-aav	-	-	full_genome	5507
LV481317	ncbi-nuccore-aav	-	-	full_genome	5311
LV481318	ncbi-nuccore-aav	-	-	full_genome	5156
LV481319	ncbi-nuccore-aav	-	-	full_genome	5178
LV481320	ncbi-nuccore-aav	-	-	full_genome	5160
LV481321	ncbi-nuccore-aav	-	-	full_genome	5383
LV481322	ncbi-nuccore-aav	-	-	full_genome	5728
LV481323	ncbi-nuccore-aav	-	-	full_genome	5905
LV481324	ncbi-nuccore-aav	-	-	full_genome	5355
LV481325	ncbi-nuccore-aav	-	-	full_genome	5618
LV481326	ncbi-nuccore-aav	-	-	full_genome	5993
LV481327	ncbi-nuccore-aav	-	-	full_genome	5337
LV481328	ncbi-nuccore-aav	-	-	full_genome	5542
LV481329	ncbi-nuccore-aav	-	-	full_genome	5126
LX153636	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
LX153637	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
LX153638	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
LX153639	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4767
LX153640	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4642
LX153641	ncbi-nuccore-aav	Primate1	-	full_genome	4683
LX153642	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
LX153643	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
LX153644	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
LX153645	ncbi-nuccore-aav	Primate1	AAV10	full_genome	4102
LX153646	ncbi-nuccore-aav	Primate1	AAV11	full_genome	4087
LX153647	ncbi-nuccore-aav	Primate1	-	full_genome	4213
LX153648	ncbi-nuccore-aav	Primate1	-	full_genome	4180
LX153677	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
LY408688	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
LY408689	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
LY408690	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
LY408691	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4767
LY408692	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4642
LY408693	ncbi-nuccore-aav	Primate1	-	full_genome	4683
LY408694	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
LY408695	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
LY408696	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
LY408697	ncbi-nuccore-aav	Primate1	AAV10	full_genome	4102
LY408698	ncbi-nuccore-aav	Primate1	AAV11	full_genome	4087
LY408699	ncbi-nuccore-aav	Primate1	-	full_genome	4213
LY408700	ncbi-nuccore-aav	Primate1	-	full_genome	4180
LY408729	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
LY833184	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
LY833195	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
LY833207	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
LY833223	ncbi-nuccore-aav	Primate1	-	full_genome	4683
LY833226	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
LY833230	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
LY833234	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
LY833235	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
LY833411	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
LZ233295	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
LZ233296	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
LZ233297	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4767
LZ233298	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4642
LZ990128	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
MA345021	ncbi-nuccore-aav	-	-	full_genome	4374
MA345022	ncbi-nuccore-aav	-	-	full_genome	4374
MA345023	ncbi-nuccore-aav	-	-	full_genome	4362
MA345024	ncbi-nuccore-aav	-	-	full_genome	4371
MA345025	ncbi-nuccore-aav	-	-	full_genome	4368
MA345026	ncbi-nuccore-aav	-	-	full_genome	4365
MA345027	ncbi-nuccore-aav	-	-	full_genome	4371
MA345029	ncbi-nuccore-aav	-	-	full_genome	4778
MA345030	ncbi-nuccore-aav	-	-	full_genome	4374
MA345031	ncbi-nuccore-aav	-	-	full_genome	4374
MA630849	ncbi-nuccore-aav	-	-	full_genome	3631
MA783944	ncbi-nuccore-aav	-	-	full_genome	5031
MA845156	ncbi-nuccore-aav	-	-	full_genome	4970
MA845157	ncbi-nuccore-aav	-	-	full_genome	4950
MA845158	ncbi-nuccore-aav	-	-	full_genome	4983
MA845159	ncbi-nuccore-aav	-	-	full_genome	4984
MA845160	ncbi-nuccore-aav	-	-	full_genome	4805
MA845161	ncbi-nuccore-aav	-	-	full_genome	4934
MA845162	ncbi-nuccore-aav	-	-	full_genome	4934
MA845163	ncbi-nuccore-aav	-	-	full_genome	4934
MA845164	ncbi-nuccore-aav	-	-	full_genome	5511
MA845165	ncbi-nuccore-aav	-	-	full_genome	5688
MA845166	ncbi-nuccore-aav	-	-	full_genome	5613
MA845167	ncbi-nuccore-aav	-	-	full_genome	5362
MA845168	ncbi-nuccore-aav	-	-	full_genome	5464
MA845171	ncbi-nuccore-aav	-	-	full_genome	5635
MA845174	ncbi-nuccore-aav	-	-	full_genome	5430
MA845175	ncbi-nuccore-aav	-	-	full_genome	5779
MA845176	ncbi-nuccore-aav	-	-	full_genome	5962
MA845177	ncbi-nuccore-aav	-	-	full_genome	5919
MA845178	ncbi-nuccore-aav	-	-	full_genome	5306
MA845179	ncbi-nuccore-aav	-	-	full_genome	5461
MA845180	ncbi-nuccore-aav	-	-	full_genome	5327
MA845181	ncbi-nuccore-aav	-	-	full_genome	5309
MA845182	ncbi-nuccore-aav	-	-	full_genome	5532
MA845183	ncbi-nuccore-aav	-	-	full_genome	5877
MA845186	ncbi-nuccore-aav	-	-	full_genome	5504
MA845187	ncbi-nuccore-aav	-	-	full_genome	5507
MA845188	ncbi-nuccore-aav	-	-	full_genome	5311
MA845189	ncbi-nuccore-aav	-	-	full_genome	5156
MA845190	ncbi-nuccore-aav	-	-	full_genome	5178
MA845191	ncbi-nuccore-aav	-	-	full_genome	5160
MA845192	ncbi-nuccore-aav	-	-	full_genome	5383
MA845193	ncbi-nuccore-aav	-	-	full_genome	5728
MA845194	ncbi-nuccore-aav	-	-	full_genome	5905
MA845195	ncbi-nuccore-aav	-	-	full_genome	5355
MA845196	ncbi-nuccore-aav	-	-	full_genome	5618
MA845197	ncbi-nuccore-aav	-	-	full_genome	5993
MA845198	ncbi-nuccore-aav	-	-	full_genome	5337
MA845199	ncbi-nuccore-aav	-	-	full_genome	5542
MA845200	ncbi-nuccore-aav	-	-	full_genome	5640
